submission_id,problem_id,programming_language,verdict,dataset_source,error_type,severity,compile_success,tests_passed,tests_failed,same_error_count,total_errors_seen,attempt_no,last_feedback_action,last_feedback_success,has_suspicious_region,code_lines,total_feedback_count_in_session,target_feedback_action
4138797,1/C,GNU C++,OK,selected_accepted,SUCCESS,LOW,True,50,0,1,1,1,NONE,False,False,30,0,NO_FEEDBACK
4051974,1/C,GNU C++,OK,selected_accepted,SUCCESS,LOW,True,50,0,1,1,1,NONE,False,False,31,0,NO_FEEDBACK
4051971,1/C,GNU C++,OK,selected_accepted,SUCCESS,LOW,True,50,0,1,1,1,NONE,False,False,27,0,NO_FEEDBACK
3820194,1/C,GNU C++,OK,selected_accepted,SUCCESS,LOW,True,50,0,1,1,1,NONE,False,False,18,0,NO_FEEDBACK
3107569,1/C,GNU C++,OK,selected_accepted,SUCCESS,LOW,True,50,0,1,1,1,NONE,False,False,17,0,NO_FEEDBACK
132362843,10/D,PyPy 3,OK,selected_accepted,SUCCESS,LOW,True,61,0,1,1,1,NONE,False,False,46,0,NO_FEEDBACK
230994675,10/D,PyPy 3-64,OK,selected_accepted,SUCCESS,LOW,True,61,0,1,1,1,NONE,False,False,24,0,NO_FEEDBACK
95059088,10/D,PyPy 3,OK,selected_accepted,SUCCESS,LOW,True,61,0,1,1,1,NONE,False,False,37,0,NO_FEEDBACK
75066752,10/D,PyPy 3,OK,selected_accepted,SUCCESS,LOW,True,61,0,1,1,1,NONE,False,False,67,0,NO_FEEDBACK
89312171,10/D,PyPy 3,OK,selected_accepted,SUCCESS,LOW,True,61,0,1,1,1,NONE,False,False,26,0,NO_FEEDBACK
39718313,1000/F,C++14 (GCC 6-32),OK,selected_accepted,SUCCESS,LOW,True,70,0,1,1,1,NONE,False,False,208,0,NO_FEEDBACK
39714904,1000/F,C++17 (GCC 7-32),OK,selected_accepted,SUCCESS,LOW,True,70,0,1,1,1,NONE,False,False,70,0,NO_FEEDBACK
39707695,1000/F,GNU C++11,OK,selected_accepted,SUCCESS,LOW,True,70,0,1,1,1,NONE,False,False,52,0,NO_FEEDBACK
39712155,1000/F,C++17 (GCC 7-32),OK,selected_accepted,SUCCESS,LOW,True,70,0,1,1,1,NONE,False,False,84,0,NO_FEEDBACK
39714587,1000/F,C++17 (GCC 7-32),OK,selected_accepted,SUCCESS,LOW,True,70,0,1,1,1,NONE,False,False,83,0,NO_FEEDBACK
39907847,1003/B,C++14 (GCC 6-32),OK,selected_accepted,SUCCESS,LOW,True,43,0,1,1,1,NONE,False,False,63,0,NO_FEEDBACK
39905193,1003/B,C++14 (GCC 6-32),OK,selected_accepted,SUCCESS,LOW,True,43,0,1,1,1,NONE,False,False,41,0,NO_FEEDBACK
