dataset_file,dataset_row,problem_id,verdict,mentor_state,split
train-00002-of-00009.parquet,157065,732/A,WRONG_ANSWER,semantic_debug,train
train-00008-of-00009.parquet,552890,336/A,WRONG_ANSWER,semantic_debug,test
train-00002-of-00009.parquet,197690,71/A,OK,accepted,train
train-00008-of-00009.parquet,617765,462/A,RUNTIME_ERROR,execution_safety,train
train-00006-of-00009.parquet,422956,43/A,RUNTIME_ERROR,execution_safety,test
train-00002-of-00009.parquet,151451,35/A,RUNTIME_ERROR,execution_safety,test
train-00003-of-00009.parquet,261873,334/A,OK,accepted,train
train-00003-of-00009.parquet,246618,158/A,OK,accepted,test
train-00002-of-00009.parquet,152744,158/A,RUNTIME_ERROR,execution_safety,test
test-00000-of-00001.parquet,643485,50/A,COMPILATION_ERROR,syntax_repair,train
train-00001-of-00009.parquet,83532,794/B,RUNTIME_ERROR,execution_safety,train
train-00007-of-00009.parquet,488553,149/A,WRONG_ANSWER,semantic_debug,test
train-00000-of-00009.parquet,51670,160/A,COMPILATION_ERROR,syntax_repair,test
train-00007-of-00009.parquet,495998,920/A,OK,accepted,train
test-00000-of-00001.parquet,646752,228/A,WRONG_ANSWER,semantic_debug,test
train-00002-of-00009.parquet,168040,302/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00003-of-00009.parquet,275057,750/A,OK,accepted,train
train-00003-of-00009.parquet,264893,629/A,WRONG_ANSWER,semantic_debug,train
train-00005-of-00009.parquet,347202,228/A,OK,accepted,test
train-00005-of-00009.parquet,381166,807/A,WRONG_ANSWER,semantic_debug,train
test-00000-of-00001.parquet,650257,1/A,WRONG_ANSWER,semantic_debug,train
train-00000-of-00009.parquet,59133,1006/A,OK,accepted,train
train-00008-of-00009.parquet,594914,680/A,OK,accepted,train
train-00002-of-00009.parquet,153024,620/B,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00000-of-00009.parquet,37460,780/A,RUNTIME_ERROR,execution_safety,test
test-00000-of-00001.parquet,679349,475/A,RUNTIME_ERROR,execution_safety,train
train-00000-of-00009.parquet,59386,996/A,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00006-of-00009.parquet,456785,770/A,WRONG_ANSWER,semantic_debug,train
train-00003-of-00009.parquet,212396,1005/B,RUNTIME_ERROR,execution_safety,test
train-00008-of-00009.parquet,557260,705/A,OK,accepted,train
train-00000-of-00009.parquet,11826,672/B,RUNTIME_ERROR,execution_safety,test
train-00003-of-00009.parquet,208791,368/B,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00005-of-00009.parquet,384004,431/A,RUNTIME_ERROR,execution_safety,train
train-00002-of-00009.parquet,198420,61/A,RUNTIME_ERROR,execution_safety,train
train-00008-of-00009.parquet,602878,58/A,WRONG_ANSWER,semantic_debug,train
train-00000-of-00009.parquet,56652,253/A,RUNTIME_ERROR,execution_safety,train
train-00007-of-00009.parquet,491653,441/A,COMPILATION_ERROR,syntax_repair,train
train-00003-of-00009.parquet,212898,13/A,WRONG_ANSWER,semantic_debug,train
train-00008-of-00009.parquet,615760,353/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00005-of-00009.parquet,391474,950/A,OK,accepted,train
train-00002-of-00009.parquet,186422,755/B,WRONG_ANSWER,semantic_debug,train
train-00003-of-00009.parquet,249564,707/A,COMPILATION_ERROR,syntax_repair,train
test-00000-of-00001.parquet,675837,998/A,WRONG_ANSWER,semantic_debug,test
train-00007-of-00009.parquet,547294,514/A,RUNTIME_ERROR,execution_safety,train
train-00004-of-00009.parquet,336373,391/E1,RUNTIME_ERROR,execution_safety,train
train-00007-of-00009.parquet,537285,948/A,WRONG_ANSWER,semantic_debug,train
train-00000-of-00009.parquet,4563,344/A,COMPILATION_ERROR,syntax_repair,test
train-00007-of-00009.parquet,507157,729/B,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00003-of-00009.parquet,252505,630/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00005-of-00009.parquet,395571,577/A,COMPILATION_ERROR,syntax_repair,train
train-00008-of-00009.parquet,554370,41/A,OK,accepted,train
train-00008-of-00009.parquet,574285,11/A,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00003-of-00009.parquet,216830,750/A,OK,accepted,train
train-00003-of-00009.parquet,223375,465/B,WRONG_ANSWER,semantic_debug,train
train-00007-of-00009.parquet,547655,233/A,RUNTIME_ERROR,execution_safety,train
test-00000-of-00001.parquet,675871,50/A,RUNTIME_ERROR,execution_safety,train
train-00007-of-00009.parquet,504547,22/A,RUNTIME_ERROR,execution_safety,train
train-00004-of-00009.parquet,284546,0/none,OK,accepted,train
test-00000-of-00001.parquet,647394,803/B,OK,accepted,train
train-00002-of-00009.parquet,164513,653/A,OK,accepted,train
train-00005-of-00009.parquet,397203,454/A,OK,accepted,train
train-00007-of-00009.parquet,540098,302/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00002-of-00009.parquet,153145,828/A,WRONG_ANSWER,semantic_debug,train
train-00006-of-00009.parquet,436441,755/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00007-of-00009.parquet,534032,31/A,WRONG_ANSWER,semantic_debug,test
train-00004-of-00009.parquet,303253,777/A,WRONG_ANSWER,semantic_debug,train
train-00006-of-00009.parquet,428905,486/A,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00008-of-00009.parquet,566096,59/A,OK,accepted,train
train-00000-of-00009.parquet,16604,978/B,OK,accepted,train
train-00000-of-00009.parquet,1273,320/A,WRONG_ANSWER,semantic_debug,train
train-00007-of-00009.parquet,506236,264/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00002-of-00009.parquet,162901,591/B,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00001-of-00009.parquet,119366,822/A,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00004-of-00009.parquet,276572,37/A,RUNTIME_ERROR,execution_safety,test
test-00000-of-00001.parquet,649070,447/A,OK,accepted,train
train-00003-of-00009.parquet,273104,596/A,COMPILATION_ERROR,syntax_repair,test
train-00006-of-00009.parquet,441729,869/B,RUNTIME_ERROR,execution_safety,train
train-00007-of-00009.parquet,499939,682/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00002-of-00009.parquet,139352,58/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00004-of-00009.parquet,307089,141/A,WRONG_ANSWER,semantic_debug,test
train-00004-of-00009.parquet,326952,41/A,OK,accepted,train
train-00000-of-00009.parquet,45586,1004/A,COMPILATION_ERROR,syntax_repair,test
train-00000-of-00009.parquet,11942,45/A,RUNTIME_ERROR,execution_safety,test
train-00005-of-00009.parquet,361007,599/A,WRONG_ANSWER,semantic_debug,train
train-00006-of-00009.parquet,460122,133/A,WRONG_ANSWER,semantic_debug,train
train-00006-of-00009.parquet,427727,711/A,WRONG_ANSWER,semantic_debug,train
train-00007-of-00009.parquet,512559,807/A,OK,accepted,train
test-00000-of-00001.parquet,650149,22/A,RUNTIME_ERROR,execution_safety,train
train-00006-of-00009.parquet,419924,412/B,COMPILATION_ERROR,syntax_repair,test
train-00005-of-00009.parquet,386741,11/A,WRONG_ANSWER,semantic_debug,test
train-00003-of-00009.parquet,222287,618/B,OK,accepted,train
train-00007-of-00009.parquet,549254,400/A,OK,accepted,test
train-00001-of-00009.parquet,121663,294/A,RUNTIME_ERROR,execution_safety,train
train-00007-of-00009.parquet,530217,909/A,WRONG_ANSWER,semantic_debug,test
train-00000-of-00009.parquet,42528,225/A,OK,accepted,test
train-00005-of-00009.parquet,372344,253/A,RUNTIME_ERROR,execution_safety,train
train-00007-of-00009.parquet,502545,275/A,RUNTIME_ERROR,execution_safety,train
test-00000-of-00001.parquet,660319,12/B,COMPILATION_ERROR,syntax_repair,train
train-00006-of-00009.parquet,432173,82/A,WRONG_ANSWER,semantic_debug,train
train-00003-of-00009.parquet,251525,796/A,RUNTIME_ERROR,execution_safety,train
train-00008-of-00009.parquet,561848,958/B1,OK,accepted,train
train-00000-of-00009.parquet,7679,766/A,WRONG_ANSWER,semantic_debug,train
train-00003-of-00009.parquet,236999,258/A,OK,accepted,train
train-00002-of-00009.parquet,200347,791/A,WRONG_ANSWER,semantic_debug,test
train-00000-of-00009.parquet,7676,808/A,RUNTIME_ERROR,execution_safety,train
train-00005-of-00009.parquet,395678,61/A,COMPILATION_ERROR,syntax_repair,train
train-00001-of-00009.parquet,71363,16/A,RUNTIME_ERROR,execution_safety,test
train-00008-of-00009.parquet,585553,50/A,OK,accepted,train
train-00002-of-00009.parquet,142449,285/B,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00004-of-00009.parquet,324767,577/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00008-of-00009.parquet,555340,219/A,WRONG_ANSWER,semantic_debug,train
train-00007-of-00009.parquet,485974,61/A,RUNTIME_ERROR,execution_safety,train
train-00000-of-00009.parquet,44990,58/A,WRONG_ANSWER,semantic_debug,train
train-00007-of-00009.parquet,530858,34/B,WRONG_ANSWER,semantic_debug,train
