event_index,student_id,task_id,scenario,action,error_type,compile_success,tests_passed,tests_failed,analysis_time_ms,wall_latency_ms,suspicious_region
1,1,101,syntax_missing_semicolon_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,409,577,statement ending
2,1,101,syntax_missing_semicolon_b,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,88,107,statement ending
3,1,101,syntax_missing_semicolon_c,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,80,99,statement ending
4,1,102,off_by_one_first,CODE_HIGHLIGHT,OFF_BY_ONE,true,1,2,450,472,for loop condition
5,1,102,off_by_one_repeat_a,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,335,351,for loop condition
6,1,102,off_by_one_repeat_b,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,315,334,for loop condition
7,1,103,wrong_condition_first,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,299,314,while condition
8,1,103,wrong_condition_repeat,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,305,321,while condition
9,1,104,unfinished_todo_first,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,306,325,unfinished implementation
10,1,104,unfinished_todo_repeat_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,75,89,"line 1, column 66"
11,1,104,unfinished_todo_repeat_b,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,299,312,unfinished implementation
12,1,105,complete_return_first,NO_FEEDBACK,UNKNOWN,true,3,0,287,304,logic block
13,1,106,unknown_partial_logic,CONCEPTUAL_HINT,UNKNOWN,true,1,2,291,305,logic block
14,1,105,complete_return_second,NO_FEEDBACK,UNKNOWN,true,3,0,297,313,logic block
15,1,101,syntax_after_progress,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,76,90,statement ending
16,1,102,off_by_one_after_progress,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,298,310,for loop condition
17,1,104,unfinished_todo_after_progress,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,290,303,unfinished implementation
18,1,103,wrong_condition_after_progress,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,292,310,while condition
19,1,105,complete_return_final,CONCEPTUAL_HINT,UNKNOWN,true,3,0,289,303,logic block
20,2,101,syntax_missing_semicolon_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,76,87,statement ending
21,2,101,syntax_missing_semicolon_b,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,68,83,statement ending
22,2,101,syntax_missing_semicolon_c,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,73,89,statement ending
23,2,102,off_by_one_first,CODE_HIGHLIGHT,OFF_BY_ONE,true,1,2,292,306,for loop condition
24,2,102,off_by_one_repeat_a,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,302,314,for loop condition
25,2,102,off_by_one_repeat_b,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,320,337,for loop condition
26,2,103,wrong_condition_first,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,300,312,while condition
27,2,103,wrong_condition_repeat,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,302,314,while condition
28,2,104,unfinished_todo_first,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,290,302,unfinished implementation
29,2,104,unfinished_todo_repeat_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,73,84,"line 1, column 66"
30,2,104,unfinished_todo_repeat_b,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,282,299,unfinished implementation
31,2,105,complete_return_first,NO_FEEDBACK,UNKNOWN,true,3,0,286,300,logic block
32,2,106,unknown_partial_logic,CONCEPTUAL_HINT,UNKNOWN,true,1,2,286,301,logic block
33,2,105,complete_return_second,NO_FEEDBACK,UNKNOWN,true,3,0,284,297,logic block
34,2,101,syntax_after_progress,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,71,83,statement ending
35,2,102,off_by_one_after_progress,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,288,300,for loop condition
36,2,104,unfinished_todo_after_progress,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,295,313,unfinished implementation
37,2,103,wrong_condition_after_progress,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,300,311,while condition
38,2,105,complete_return_final,CONCEPTUAL_HINT,UNKNOWN,true,3,0,290,304,logic block
39,3,101,syntax_missing_semicolon_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,67,81,statement ending
40,3,101,syntax_missing_semicolon_b,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,69,83,statement ending
41,3,101,syntax_missing_semicolon_c,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,73,83,statement ending
42,3,102,off_by_one_first,CODE_HIGHLIGHT,OFF_BY_ONE,true,1,2,289,301,for loop condition
43,3,102,off_by_one_repeat_a,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,290,304,for loop condition
44,3,102,off_by_one_repeat_b,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,281,291,for loop condition
45,3,103,wrong_condition_first,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,282,293,while condition
46,3,103,wrong_condition_repeat,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,280,294,while condition
47,3,104,unfinished_todo_first,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,277,287,unfinished implementation
48,3,104,unfinished_todo_repeat_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,74,85,"line 1, column 66"
49,3,104,unfinished_todo_repeat_b,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,279,291,unfinished implementation
50,3,105,complete_return_first,NO_FEEDBACK,UNKNOWN,true,3,0,279,290,logic block
51,3,106,unknown_partial_logic,CONCEPTUAL_HINT,UNKNOWN,true,1,2,281,294,logic block
52,3,105,complete_return_second,NO_FEEDBACK,UNKNOWN,true,3,0,283,295,logic block
53,3,101,syntax_after_progress,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,68,79,statement ending
54,3,102,off_by_one_after_progress,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,280,295,for loop condition
55,3,104,unfinished_todo_after_progress,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,283,299,unfinished implementation
56,3,103,wrong_condition_after_progress,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,285,300,while condition
57,3,105,complete_return_final,CONCEPTUAL_HINT,UNKNOWN,true,3,0,278,290,logic block
58,4,101,syntax_missing_semicolon_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,70,85,statement ending
59,4,101,syntax_missing_semicolon_b,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,70,82,statement ending
60,4,101,syntax_missing_semicolon_c,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,72,83,statement ending
61,4,102,off_by_one_first,CODE_HIGHLIGHT,OFF_BY_ONE,true,1,2,281,295,for loop condition
62,4,102,off_by_one_repeat_a,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,283,297,for loop condition
63,4,102,off_by_one_repeat_b,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,282,293,for loop condition
64,4,103,wrong_condition_first,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,301,320,while condition
65,4,103,wrong_condition_repeat,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,296,308,while condition
66,4,104,unfinished_todo_first,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,296,307,unfinished implementation
67,4,104,unfinished_todo_repeat_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,72,80,"line 1, column 66"
68,4,104,unfinished_todo_repeat_b,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,276,285,unfinished implementation
69,4,105,complete_return_first,NO_FEEDBACK,UNKNOWN,true,3,0,274,285,logic block
70,4,106,unknown_partial_logic,CONCEPTUAL_HINT,UNKNOWN,true,1,2,284,298,logic block
71,4,105,complete_return_second,NO_FEEDBACK,UNKNOWN,true,3,0,274,282,logic block
72,4,101,syntax_after_progress,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,68,79,statement ending
73,4,102,off_by_one_after_progress,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,284,296,for loop condition
74,4,104,unfinished_todo_after_progress,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,276,288,unfinished implementation
75,4,103,wrong_condition_after_progress,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,276,284,while condition
76,4,105,complete_return_final,CONCEPTUAL_HINT,UNKNOWN,true,3,0,282,292,logic block
77,5,101,syntax_missing_semicolon_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,71,85,statement ending
78,5,101,syntax_missing_semicolon_b,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,73,82,statement ending
79,5,101,syntax_missing_semicolon_c,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,69,77,statement ending
80,5,102,off_by_one_first,CODE_HIGHLIGHT,OFF_BY_ONE,true,1,2,281,295,for loop condition
81,5,102,off_by_one_repeat_a,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,280,290,for loop condition
82,5,102,off_by_one_repeat_b,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,278,288,for loop condition
83,5,103,wrong_condition_first,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,282,290,while condition
84,5,103,wrong_condition_repeat,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,277,286,while condition
85,5,104,unfinished_todo_first,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,280,294,unfinished implementation
86,5,104,unfinished_todo_repeat_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,75,86,"line 1, column 66"
87,5,104,unfinished_todo_repeat_b,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,280,291,unfinished implementation
88,5,105,complete_return_first,NO_FEEDBACK,UNKNOWN,true,3,0,286,299,logic block
89,5,106,unknown_partial_logic,CONCEPTUAL_HINT,UNKNOWN,true,1,2,281,290,logic block
90,5,105,complete_return_second,NO_FEEDBACK,UNKNOWN,true,3,0,278,288,logic block
91,5,101,syntax_after_progress,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,71,83,statement ending
92,5,102,off_by_one_after_progress,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,286,295,for loop condition
93,5,104,unfinished_todo_after_progress,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,276,287,unfinished implementation
94,5,103,wrong_condition_after_progress,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,282,290,while condition
95,5,105,complete_return_final,CONCEPTUAL_HINT,UNKNOWN,true,3,0,272,279,logic block
96,6,101,syntax_missing_semicolon_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,70,80,statement ending
97,6,101,syntax_missing_semicolon_b,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,71,80,statement ending
98,6,101,syntax_missing_semicolon_c,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,68,76,statement ending
99,6,102,off_by_one_first,CODE_HIGHLIGHT,OFF_BY_ONE,true,1,2,279,290,for loop condition
100,6,102,off_by_one_repeat_a,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,272,280,for loop condition
101,6,102,off_by_one_repeat_b,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,277,285,for loop condition
102,6,103,wrong_condition_first,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,276,290,while condition
103,6,103,wrong_condition_repeat,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,279,290,while condition
104,6,104,unfinished_todo_first,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,273,282,unfinished implementation
105,6,104,unfinished_todo_repeat_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,68,78,"line 1, column 66"
106,6,104,unfinished_todo_repeat_b,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,282,289,unfinished implementation
107,6,105,complete_return_first,NO_FEEDBACK,UNKNOWN,true,3,0,274,285,logic block
108,6,106,unknown_partial_logic,CONCEPTUAL_HINT,UNKNOWN,true,1,2,279,290,logic block
109,6,105,complete_return_second,NO_FEEDBACK,UNKNOWN,true,3,0,273,283,logic block
110,6,101,syntax_after_progress,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,69,80,statement ending
111,6,102,off_by_one_after_progress,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,276,284,for loop condition
112,6,104,unfinished_todo_after_progress,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,278,286,unfinished implementation
113,6,103,wrong_condition_after_progress,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,274,281,while condition
114,6,105,complete_return_final,CONCEPTUAL_HINT,UNKNOWN,true,3,0,282,291,logic block
115,7,101,syntax_missing_semicolon_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,67,78,statement ending
116,7,101,syntax_missing_semicolon_b,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,70,79,statement ending
117,7,101,syntax_missing_semicolon_c,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,70,79,statement ending
118,7,102,off_by_one_first,CODE_HIGHLIGHT,OFF_BY_ONE,true,1,2,281,291,for loop condition
119,7,102,off_by_one_repeat_a,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,279,287,for loop condition
120,7,102,off_by_one_repeat_b,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,279,289,for loop condition
121,7,103,wrong_condition_first,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,282,290,while condition
122,7,103,wrong_condition_repeat,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,275,282,while condition
123,7,104,unfinished_todo_first,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,279,290,unfinished implementation
124,7,104,unfinished_todo_repeat_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,72,79,"line 1, column 66"
125,7,104,unfinished_todo_repeat_b,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,279,287,unfinished implementation
126,7,105,complete_return_first,NO_FEEDBACK,UNKNOWN,true,3,0,279,289,logic block
127,7,106,unknown_partial_logic,CONCEPTUAL_HINT,UNKNOWN,true,1,2,275,285,logic block
128,7,105,complete_return_second,NO_FEEDBACK,UNKNOWN,true,3,0,285,303,logic block
129,7,101,syntax_after_progress,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,74,84,statement ending
130,7,102,off_by_one_after_progress,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,275,281,for loop condition
131,7,104,unfinished_todo_after_progress,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,279,288,unfinished implementation
132,7,103,wrong_condition_after_progress,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,288,295,while condition
133,7,105,complete_return_final,CONCEPTUAL_HINT,UNKNOWN,true,3,0,291,297,logic block
134,8,101,syntax_missing_semicolon_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,69,79,statement ending
135,8,101,syntax_missing_semicolon_b,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,72,77,statement ending
136,8,101,syntax_missing_semicolon_c,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,71,78,statement ending
137,8,102,off_by_one_first,CODE_HIGHLIGHT,OFF_BY_ONE,true,1,2,278,291,for loop condition
138,8,102,off_by_one_repeat_a,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,278,284,for loop condition
139,8,102,off_by_one_repeat_b,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,278,285,for loop condition
140,8,103,wrong_condition_first,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,273,282,while condition
141,8,103,wrong_condition_repeat,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,278,287,while condition
142,8,104,unfinished_todo_first,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,273,280,unfinished implementation
143,8,104,unfinished_todo_repeat_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,68,75,"line 1, column 66"
144,8,104,unfinished_todo_repeat_b,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,275,285,unfinished implementation
145,8,105,complete_return_first,NO_FEEDBACK,UNKNOWN,true,3,0,279,287,logic block
146,8,106,unknown_partial_logic,CONCEPTUAL_HINT,UNKNOWN,true,1,2,282,290,logic block
147,8,105,complete_return_second,NO_FEEDBACK,UNKNOWN,true,3,0,274,280,logic block
148,8,101,syntax_after_progress,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,71,78,statement ending
149,8,102,off_by_one_after_progress,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,275,283,for loop condition
150,8,104,unfinished_todo_after_progress,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,275,281,unfinished implementation
151,8,103,wrong_condition_after_progress,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,275,283,while condition
152,8,105,complete_return_final,CONCEPTUAL_HINT,UNKNOWN,true,3,0,279,286,logic block
153,9,101,syntax_missing_semicolon_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,68,76,statement ending
