student_id,problem_id,difficulty,dataset_source,session_id,error_type,severity,compile_success,tests_passed,tests_failed,same_error_count,total_errors_seen,attempt_no,last_feedback_action,last_feedback_success,has_suspicious_region,code_lines,total_feedback_count_in_session,feedback_action
99,0,interview,public_code_corpus,0,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,54,0,CODE_HIGHLIGHT
38,0,interview,public_code_corpus,0,SYNTAX_ERROR,HIGH,False,0,1,2,2,2,CODE_HIGHLIGHT,False,True,54,1,CONCEPTUAL_HINT
194,0,interview,public_code_corpus,0,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,54,2,NO_FEEDBACK
69,0,interview,public_code_corpus,1,OFF_BY_ONE,MEDIUM,True,0,1,0,1,1,,,True,52,0,CODE_HIGHLIGHT
62,0,interview,public_code_corpus,1,OFF_BY_ONE,MEDIUM,True,0,1,2,2,2,CODE_HIGHLIGHT,False,True,52,1,CONCEPTUAL_HINT
114,0,interview,public_code_corpus,1,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,52,2,NO_FEEDBACK
139,0,interview,public_code_corpus,2,STUCK_NO_PROGRESS,MEDIUM,True,0,1,0,1,1,,,True,53,0,GUIDING_QUESTION
47,0,interview,public_code_corpus,2,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,GUIDING_QUESTION,False,True,53,1,CONCEPTUAL_HINT
150,0,interview,public_code_corpus,2,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,53,2,NO_FEEDBACK
132,0,interview,public_code_corpus,3,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,61,0,CODE_HIGHLIGHT
109,0,interview,public_code_corpus,3,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,CODE_HIGHLIGHT,False,True,61,1,CONCEPTUAL_HINT
156,0,interview,public_code_corpus,3,WRONG_CONDITION,MEDIUM,True,0,1,2,3,3,CONCEPTUAL_HINT,False,True,61,2,GUIDING_QUESTION
79,0,interview,public_code_corpus,3,SUCCESS,LOW,True,1,0,0,3,4,GUIDING_QUESTION,False,False,61,3,NO_FEEDBACK
175,0,interview,public_code_corpus,4,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,56,0,CODE_HIGHLIGHT
62,0,interview,public_code_corpus,4,SYNTAX_ERROR,HIGH,False,0,1,2,2,2,CODE_HIGHLIGHT,False,True,56,1,CONCEPTUAL_HINT
77,0,interview,public_code_corpus,4,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,56,2,NO_FEEDBACK
15,1,interview,public_code_corpus,5,OFF_BY_ONE,MEDIUM,True,0,1,0,1,1,,,True,15,0,CODE_HIGHLIGHT
43,1,interview,public_code_corpus,5,OFF_BY_ONE,MEDIUM,True,0,1,2,2,2,CODE_HIGHLIGHT,False,True,15,1,CONCEPTUAL_HINT
25,1,interview,public_code_corpus,5,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,15,2,NO_FEEDBACK
114,1,interview,public_code_corpus,6,STUCK_NO_PROGRESS,MEDIUM,True,0,1,0,1,1,,,True,35,0,GUIDING_QUESTION
66,1,interview,public_code_corpus,6,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,GUIDING_QUESTION,False,True,35,1,CONCEPTUAL_HINT
60,1,interview,public_code_corpus,6,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,35,2,NO_FEEDBACK
36,1,interview,public_code_corpus,7,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,20,0,CODE_HIGHLIGHT
70,1,interview,public_code_corpus,7,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,CODE_HIGHLIGHT,False,True,20,1,CONCEPTUAL_HINT
78,1,interview,public_code_corpus,7,WRONG_CONDITION,MEDIUM,True,0,1,2,3,3,CONCEPTUAL_HINT,False,True,20,2,GUIDING_QUESTION
91,1,interview,public_code_corpus,7,SUCCESS,LOW,True,1,0,0,3,4,GUIDING_QUESTION,False,False,20,3,NO_FEEDBACK
131,1,interview,public_code_corpus,8,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,21,0,CODE_HIGHLIGHT
92,1,interview,public_code_corpus,8,SYNTAX_ERROR,HIGH,False,0,1,2,2,2,CODE_HIGHLIGHT,False,True,21,1,CONCEPTUAL_HINT
98,1,interview,public_code_corpus,8,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,21,2,NO_FEEDBACK
144,1,interview,public_code_corpus,9,OFF_BY_ONE,MEDIUM,True,0,1,0,1,1,,,True,13,0,CODE_HIGHLIGHT
105,1,interview,public_code_corpus,9,OFF_BY_ONE,MEDIUM,True,0,1,2,2,2,CODE_HIGHLIGHT,False,True,13,1,CONCEPTUAL_HINT
175,1,interview,public_code_corpus,9,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,13,2,NO_FEEDBACK
63,2,interview,public_code_corpus,10,STUCK_NO_PROGRESS,MEDIUM,True,0,1,0,1,1,,,True,62,0,GUIDING_QUESTION
173,2,interview,public_code_corpus,10,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,GUIDING_QUESTION,False,True,62,1,CONCEPTUAL_HINT
90,2,interview,public_code_corpus,10,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,62,2,NO_FEEDBACK
93,2,interview,public_code_corpus,11,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,11,0,CODE_HIGHLIGHT
27,2,interview,public_code_corpus,11,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,CODE_HIGHLIGHT,False,True,11,1,CONCEPTUAL_HINT
126,2,interview,public_code_corpus,11,WRONG_CONDITION,MEDIUM,True,0,1,2,3,3,CONCEPTUAL_HINT,False,True,11,2,GUIDING_QUESTION
49,2,interview,public_code_corpus,11,SUCCESS,LOW,True,1,0,0,3,4,GUIDING_QUESTION,False,False,11,3,NO_FEEDBACK
9,2,interview,public_code_corpus,12,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,20,0,CODE_HIGHLIGHT
171,2,interview,public_code_corpus,12,SYNTAX_ERROR,HIGH,False,0,1,2,2,2,CODE_HIGHLIGHT,False,True,20,1,CONCEPTUAL_HINT
89,2,interview,public_code_corpus,12,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,20,2,NO_FEEDBACK
144,2,interview,public_code_corpus,13,OFF_BY_ONE,MEDIUM,True,0,1,0,1,1,,,True,24,0,CODE_HIGHLIGHT
167,2,interview,public_code_corpus,13,OFF_BY_ONE,MEDIUM,True,0,1,2,2,2,CODE_HIGHLIGHT,False,True,24,1,CONCEPTUAL_HINT
97,2,interview,public_code_corpus,13,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,24,2,NO_FEEDBACK
