event_index,mode,cohort,student_id,problem_id,problem_slug,problem_title,difficulty,concept,attempt_no,stage,scenario,expected_action,expected_reason,status,action,agreement,error_type,compile_success,tests_passed,tests_failed,analysis_time_ms,wall_latency_ms,suspicious_region,code_lines,error
1,NO_POLICY,1,431001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CONCEPTUAL_HINT,false,SYNTAX_ERROR,False,0,0,162,294,statement ending,1,
2,NO_POLICY,1,431001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,CONCEPTUAL_HINT,false,STUCK_NO_PROGRESS,True,0,3,64,122,unfinished implementation,2,
3,NO_POLICY,1,431001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,3,first_conceptual_error,possible_null_access_first,CODE_HIGHLIGHT,First substantial mistake should receive the least sufficient intervention.,200,CONCEPTUAL_HINT,false,POSSIBLE_NULL_ACCESS,True,3,0,34,91,missing null or empty guard,1,
4,NO_POLICY,1,431001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,4,repeated_conceptual_error,possible_null_access_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,POSSIBLE_NULL_ACCESS,True,3,0,24,68,missing null or empty guard,1,
5,NO_POLICY,1,431001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,UNKNOWN,True,1,2,17,51,logic block,1,
6,NO_POLICY,1,431001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,CONCEPTUAL_HINT,false,WRONG_CONDITION,True,1,2,15,65,while condition,1,
7,NO_POLICY,1,431002,302,two-sum,Two Sum,easy,hash map lookup and pair search,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CONCEPTUAL_HINT,false,SYNTAX_ERROR,False,0,0,5,53,statement ending,1,
8,NO_POLICY,1,431002,302,two-sum,Two Sum,easy,hash map lookup and pair search,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,CONCEPTUAL_HINT,false,STUCK_NO_PROGRESS,True,0,3,13,66,unfinished implementation,2,
9,NO_POLICY,1,431002,302,two-sum,Two Sum,easy,hash map lookup and pair search,3,first_conceptual_error,off_by_one_first,CODE_HIGHLIGHT,First substantial mistake should receive the least sufficient intervention.,200,CONCEPTUAL_HINT,false,OFF_BY_ONE,True,1,2,12,58,for loop condition,1,
10,NO_POLICY,1,431002,302,two-sum,Two Sum,easy,hash map lookup and pair search,4,repeated_conceptual_error,off_by_one_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,OFF_BY_ONE,True,1,2,14,67,for loop condition,1,
