event_index,mode,cohort,student_id,problem_id,problem_slug,problem_title,difficulty,concept,attempt_no,stage,scenario,expected_action,expected_reason,status,action,agreement,feedback_source,feedback_text,error_type,compile_success,tests_passed,tests_failed,analysis_time_ms,wall_latency_ms,suspicious_region,code_lines,error
1,ML,1,911001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,gemini,It looks like there might be a small syntax issue with how your statement is ending. Double-check the characters you're using to terminate your code lines.,SYNTAX_ERROR,False,0,0,0,1360,statement ending,1,
2,ML,1,911001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,gemini,It looks like you're on the right track with initializing your `progress` variable! What's the next logical step to start building the core algorithm you've outlined in your comments?,STUCK_NO_PROGRESS,True,0,3,1,1847,unfinished implementation,2,
3,ML,1,911001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,3,first_conceptual_error,possible_null_access_first,CODE_HIGHLIGHT,First substantial mistake should receive the least sufficient intervention.,200,CODE_HIGHLIGHT,true,gemini,"You're on the right track with using `StringBuilder` to reverse the string! Since all tests passed, your solution is working correctly for the given cases.",POSSIBLE_NULL_ACCESS,True,3,0,0,1269,missing null or empty guard,1,
4,ML,1,911001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,4,repeated_conceptual_error,possible_null_access_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,template,Compare this part of your logic with the task requirement.,POSSIBLE_NULL_ACCESS,True,3,0,0,1135,missing null or empty guard,1,
5,ML,1,911001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,gemini,"Your code compiles and passes some tests, which is great progress! Think carefully about how each line of code affects the value of `checkpoint` and how that relates to the expected outcomes for all test cases.",UNKNOWN,True,1,2,0,902,logic block,1,
6,ML,1,911001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,NO_FEEDBACK,true,gemini,You're off to a great start with your loop structure! Consider what needs to be true for the loop to continue.,WRONG_CONDITION,True,3,0,0,1179,while condition,1,
7,ML,1,911002,302,two-sum,Two Sum,easy,hash map lookup and pair search,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,gemini,It looks like there's a small syntax error with how the `candidate` variable is declared. Make sure to use the correct keyword to declare integer variables in Java.,SYNTAX_ERROR,False,0,0,0,713,statement ending,1,
8,ML,1,911002,302,two-sum,Two Sum,easy,hash map lookup and pair search,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,gemini,You're off to a good start with setting up your variables! Consider what needs to happen with the `progress` variable inside the loop to gradually reach the target value.,STUCK_NO_PROGRESS,True,0,3,1,1766,unfinished implementation,2,
9,ML,1,911002,302,two-sum,Two Sum,easy,hash map lookup and pair search,3,first_conceptual_error,off_by_one_first,CODE_HIGHLIGHT,First substantial mistake should receive the least sufficient intervention.,200,CODE_HIGHLIGHT,true,gemini,It looks like you're very close to solving this! Double-check the condition in your `for` loop; an off-by-one error here might be causing you to miss some potential solutions.,OFF_BY_ONE,True,1,2,1,1637,for loop condition,1,
10,ML,1,911002,302,two-sum,Two Sum,easy,hash map lookup and pair search,4,repeated_conceptual_error,off_by_one_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,gemini,You're very close to a correct solution! Double-check the loop condition to make sure you're iterating through all the necessary elements in the array.,OFF_BY_ONE,True,1,2,0,2998,for loop condition,1,
