event_index,mode,phase,student_id,task_id,attempt_no,scenario,status,action,error_type,compile_success,tests_passed,tests_failed,analysis_time_ms,wall_latency_ms,suspicious_region,error
1,RULE,replay,210001,101,1,syntax_missing_semicolon_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,167,316,statement ending,
2,RULE,replay,210001,101,2,syntax_missing_semicolon_b,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,1,54,statement ending,
3,RULE,replay,210001,101,3,syntax_missing_semicolon_c,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,58,statement ending,
4,RULE,replay,210001,102,4,off_by_one_first,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,52,96,for loop condition,
5,RULE,replay,210001,102,5,off_by_one_repeat_a,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,7,65,for loop condition,
6,RULE,replay,210001,102,6,off_by_one_repeat_b,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,4,62,for loop condition,
7,RULE,replay,210001,103,7,wrong_condition_first,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,11,46,while condition,
8,RULE,replay,210001,103,8,wrong_condition_repeat,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,17,69,while condition,
9,RULE,replay,210001,104,9,unfinished_todo_first,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,23,61,unfinished implementation,
10,RULE,replay,210001,104,10,unfinished_todo_repeat_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,4,30,"line 1, column 66",
11,RULE,replay,210001,104,11,unfinished_todo_repeat_b,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,8,60,unfinished implementation,
12,RULE,replay,210001,105,12,complete_return_first,200,NO_FEEDBACK,UNKNOWN,True,3,0,8,46,logic block,
13,RULE,replay,210001,106,13,unknown_partial_logic,200,CONCEPTUAL_HINT,UNKNOWN,True,1,2,17,46,logic block,
14,RULE,replay,210001,105,14,complete_return_second,200,NO_FEEDBACK,UNKNOWN,True,3,0,11,37,logic block,
15,RULE,replay,210001,101,15,syntax_after_progress,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,43,statement ending,
16,RULE,replay,210001,102,16,off_by_one_after_progress,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,10,54,for loop condition,
17,RULE,replay,210001,104,17,unfinished_todo_after_progress,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,6,59,unfinished implementation,
18,RULE,replay,210001,103,18,wrong_condition_after_progress,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,10,39,while condition,
19,RULE,replay,210001,105,19,complete_return_final,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,10,38,logic block,
20,RULE,replay,210002,101,1,syntax_missing_semicolon_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,1,63,statement ending,
21,RULE,replay,210002,101,2,syntax_missing_semicolon_b,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,32,statement ending,
22,RULE,replay,210002,101,3,syntax_missing_semicolon_c,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,33,statement ending,
23,RULE,replay,210002,102,4,off_by_one_first,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,10,37,for loop condition,
24,RULE,replay,210002,102,5,off_by_one_repeat_a,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,8,51,for loop condition,
25,RULE,replay,210002,102,6,off_by_one_repeat_b,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,9,34,for loop condition,
26,RULE,replay,210002,103,7,wrong_condition_first,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,7,60,while condition,
27,RULE,replay,210002,103,8,wrong_condition_repeat,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,8,60,while condition,
28,RULE,replay,210002,104,9,unfinished_todo_first,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,6,53,unfinished implementation,
29,RULE,replay,210002,104,10,unfinished_todo_repeat_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,4,30,"line 1, column 66",
30,RULE,replay,210002,104,11,unfinished_todo_repeat_b,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,10,55,unfinished implementation,
31,RULE,replay,210002,105,12,complete_return_first,200,NO_FEEDBACK,UNKNOWN,True,3,0,9,38,logic block,
32,RULE,replay,210002,106,13,unknown_partial_logic,200,CONCEPTUAL_HINT,UNKNOWN,True,1,2,10,40,logic block,
33,RULE,replay,210002,105,14,complete_return_second,200,NO_FEEDBACK,UNKNOWN,True,3,0,6,52,logic block,
34,RULE,replay,210002,101,15,syntax_after_progress,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,54,statement ending,
