event_index,mode,phase,student_id,task_id,attempt_no,scenario,status,action,error_type,compile_success,tests_passed,tests_failed,analysis_time_ms,wall_latency_ms,suspicious_region,error
1,NO_POLICY,replay,240001,101,1,syntax_missing_semicolon_a,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,168,294,statement ending,
2,NO_POLICY,replay,240001,101,2,syntax_missing_semicolon_b,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,45,statement ending,
3,NO_POLICY,replay,240001,101,3,syntax_missing_semicolon_c,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,9,40,statement ending,
4,NO_POLICY,replay,240001,102,4,off_by_one_first,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,67,114,for loop condition,
5,NO_POLICY,replay,240001,102,5,off_by_one_repeat_a,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,10,64,for loop condition,
6,NO_POLICY,replay,240001,102,6,off_by_one_repeat_b,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,15,46,for loop condition,
7,NO_POLICY,replay,240001,103,7,wrong_condition_first,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,15,47,while condition,
8,NO_POLICY,replay,240001,103,8,wrong_condition_repeat,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,16,70,while condition,
9,NO_POLICY,replay,240001,104,9,unfinished_todo_first,200,CONCEPTUAL_HINT,STUCK_NO_PROGRESS,True,0,3,23,67,unfinished implementation,
10,NO_POLICY,replay,240001,104,10,unfinished_todo_repeat_a,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,54,"line 1, column 66",
11,NO_POLICY,replay,240001,104,11,unfinished_todo_repeat_b,200,CONCEPTUAL_HINT,STUCK_NO_PROGRESS,True,0,3,10,43,unfinished implementation,
12,NO_POLICY,replay,240001,105,12,complete_return_first,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,5,44,logic block,
13,NO_POLICY,replay,240001,106,13,unknown_partial_logic,200,CONCEPTUAL_HINT,UNKNOWN,True,1,2,11,49,logic block,
