student_id,problem_id,difficulty,dataset_source,session_id,error_type,severity,compile_success,tests_passed,tests_failed,same_error_count,total_errors_seen,attempt_no,last_feedback_action,last_feedback_success,has_suspicious_region,code_lines,total_feedback_count_in_session,feedback_action
154,0,interview,public_code_corpus,0,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,54,0,CODE_HIGHLIGHT
15,0,interview,public_code_corpus,0,SYNTAX_ERROR,HIGH,False,0,1,2,2,2,CODE_HIGHLIGHT,False,True,54,1,CONCEPTUAL_HINT
33,0,interview,public_code_corpus,0,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,54,2,NO_FEEDBACK
13,0,interview,public_code_corpus,1,OFF_BY_ONE,MEDIUM,True,0,1,0,1,1,,,True,52,0,CODE_HIGHLIGHT
11,0,interview,public_code_corpus,1,OFF_BY_ONE,MEDIUM,True,0,1,2,2,2,CODE_HIGHLIGHT,False,True,52,1,CONCEPTUAL_HINT
162,0,interview,public_code_corpus,1,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,52,2,NO_FEEDBACK
190,0,interview,public_code_corpus,2,STUCK_NO_PROGRESS,MEDIUM,True,0,1,0,1,1,,,True,53,0,GUIDING_QUESTION
123,0,interview,public_code_corpus,2,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,GUIDING_QUESTION,False,True,53,1,CONCEPTUAL_HINT
117,0,interview,public_code_corpus,2,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,53,2,NO_FEEDBACK
53,0,interview,public_code_corpus,3,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,61,0,CODE_HIGHLIGHT
113,0,interview,public_code_corpus,3,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,CODE_HIGHLIGHT,False,True,61,1,CONCEPTUAL_HINT
6,0,interview,public_code_corpus,3,WRONG_CONDITION,MEDIUM,True,0,1,2,3,3,CONCEPTUAL_HINT,False,True,61,2,GUIDING_QUESTION
63,0,interview,public_code_corpus,3,SUCCESS,LOW,True,1,0,0,3,4,GUIDING_QUESTION,False,False,61,3,NO_FEEDBACK
156,0,interview,public_code_corpus,4,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,56,0,CODE_HIGHLIGHT
191,0,interview,public_code_corpus,4,SYNTAX_ERROR,HIGH,False,0,1,2,2,2,CODE_HIGHLIGHT,False,True,56,1,CONCEPTUAL_HINT
174,0,interview,public_code_corpus,4,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,56,2,NO_FEEDBACK
14,1,interview,public_code_corpus,5,OFF_BY_ONE,MEDIUM,True,0,1,0,1,1,,,True,15,0,CODE_HIGHLIGHT
195,1,interview,public_code_corpus,5,OFF_BY_ONE,MEDIUM,True,0,1,2,2,2,CODE_HIGHLIGHT,False,True,15,1,CONCEPTUAL_HINT
133,1,interview,public_code_corpus,5,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,15,2,NO_FEEDBACK
100,1,interview,public_code_corpus,6,STUCK_NO_PROGRESS,MEDIUM,True,0,1,0,1,1,,,True,35,0,GUIDING_QUESTION
115,1,interview,public_code_corpus,6,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,GUIDING_QUESTION,False,True,35,1,CONCEPTUAL_HINT
158,1,interview,public_code_corpus,6,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,35,2,NO_FEEDBACK
192,1,interview,public_code_corpus,7,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,20,0,CODE_HIGHLIGHT
53,1,interview,public_code_corpus,7,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,CODE_HIGHLIGHT,False,True,20,1,CONCEPTUAL_HINT
164,1,interview,public_code_corpus,7,WRONG_CONDITION,MEDIUM,True,0,1,2,3,3,CONCEPTUAL_HINT,False,True,20,2,GUIDING_QUESTION
186,1,interview,public_code_corpus,7,SUCCESS,LOW,True,1,0,0,3,4,GUIDING_QUESTION,False,False,20,3,NO_FEEDBACK
71,1,interview,public_code_corpus,8,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,21,0,CODE_HIGHLIGHT
87,1,interview,public_code_corpus,8,SYNTAX_ERROR,HIGH,False,0,1,2,2,2,CODE_HIGHLIGHT,False,True,21,1,CONCEPTUAL_HINT
126,1,interview,public_code_corpus,8,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,21,2,NO_FEEDBACK
25,1,interview,public_code_corpus,9,OFF_BY_ONE,MEDIUM,True,0,1,0,1,1,,,True,13,0,CODE_HIGHLIGHT
