event_index,mode,cohort,student_id,problem_id,problem_slug,problem_title,difficulty,concept,attempt_no,stage,scenario,expected_action,expected_reason,status,action,agreement,error_type,compile_success,tests_passed,tests_failed,analysis_time_ms,wall_latency_ms,suspicious_region,code_lines,error
1,ML,1,301001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,SYNTAX_ERROR,False,0,0,52,1506,statement ending,1,
2,ML,1,301001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,STUCK_NO_PROGRESS,True,0,3,278,1703,unfinished implementation,2,
3,ML,1,301001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,3,first_conceptual_error,possible_null_access_first,CODE_HIGHLIGHT,First substantial mistake should receive the least sufficient intervention.,200,CODE_HIGHLIGHT,true,POSSIBLE_NULL_ACCESS,True,3,0,290,1291,missing null or empty guard,1,
4,ML,1,301001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,4,repeated_conceptual_error,possible_null_access_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,POSSIBLE_NULL_ACCESS,True,3,0,279,1648,missing null or empty guard,1,
5,ML,1,301001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,UNKNOWN,True,1,2,274,1831,logic block,1,
6,ML,1,301001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,NO_FEEDBACK,true,WRONG_CONDITION,True,3,0,285,995,while condition,1,
7,ML,1,301002,302,two-sum,Two Sum,easy,hash map lookup and pair search,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,SYNTAX_ERROR,False,0,0,51,1124,statement ending,1,
8,ML,1,301002,302,two-sum,Two Sum,easy,hash map lookup and pair search,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,STUCK_NO_PROGRESS,True,0,3,265,952,unfinished implementation,2,
9,ML,1,301002,302,two-sum,Two Sum,easy,hash map lookup and pair search,3,first_conceptual_error,off_by_one_first,CODE_HIGHLIGHT,First substantial mistake should receive the least sufficient intervention.,200,CODE_HIGHLIGHT,true,OFF_BY_ONE,True,1,2,266,1847,for loop condition,1,
10,ML,1,301002,302,two-sum,Two Sum,easy,hash map lookup and pair search,4,repeated_conceptual_error,off_by_one_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,OFF_BY_ONE,True,1,2,277,1319,for loop condition,1,
11,ML,1,301002,302,two-sum,Two Sum,easy,hash map lookup and pair search,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,UNKNOWN,True,1,2,270,1987,logic block,1,
12,ML,1,301002,302,two-sum,Two Sum,easy,hash map lookup and pair search,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,NO_FEEDBACK,true,UNKNOWN,True,3,0,265,1836,logic block,1,
13,ML,1,301003,303,valid-parentheses,Valid Parentheses,easy,stack state and matching brackets,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,SYNTAX_ERROR,False,0,0,53,1103,statement ending,1,
14,ML,1,301003,303,valid-parentheses,Valid Parentheses,easy,stack state and matching brackets,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,STUCK_NO_PROGRESS,True,0,3,271,1060,unfinished implementation,2,
15,ML,1,301003,303,valid-parentheses,Valid Parentheses,easy,stack state and matching brackets,3,first_conceptual_error,possible_null_access_first,CODE_HIGHLIGHT,First substantial mistake should receive the least sufficient intervention.,200,NO_FEEDBACK,false,UNKNOWN,True,3,0,273,1079,logic block,1,
