dataset_source,source_mode,source_event_index,cohort,student_id,session_id,task_id,problem_id,problem_slug,problem_title,difficulty,concept,stage,scenario,error_type,severity,compile_success,tests_passed,tests_failed,same_error_count,total_errors_seen,attempt_no,last_feedback_action,last_feedback_success,has_suspicious_region,code_lines,total_feedback_count_in_session,analysis_time_ms,total_latency_ms,feedback_action,target_feedback_action,agreement,suspicious_region
problem_suite_http,RULE,1,1,501001,problem_suite_http:RULE:c1:s501001:p301,301,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,syntax,missing_statement_ending,SYNTAX_ERROR,HIGH,False,0,0,1,0,1,,,True,1,0,216,353,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,statement ending
problem_suite_http,RULE,2,1,501001,problem_suite_http:RULE:c1:s501001:p301,301,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,planning,unfinished_implementation,STUCK_NO_PROGRESS,LOW,True,0,3,1,1,2,CODE_HIGHLIGHT,true,True,2,1,330,392,GUIDING_QUESTION,GUIDING_QUESTION,true,unfinished implementation
problem_suite_http,RULE,3,1,501001,problem_suite_http:RULE:c1:s501001:p301,301,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,first_conceptual_error,possible_null_access_first,POSSIBLE_NULL_ACCESS,MEDIUM,True,3,0,1,2,3,GUIDING_QUESTION,true,True,1,2,298,349,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,missing null or empty guard
problem_suite_http,RULE,4,1,501001,problem_suite_http:RULE:c1:s501001:p301,301,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,repeated_conceptual_error,possible_null_access_repeat,POSSIBLE_NULL_ACCESS,MEDIUM,True,3,0,2,3,4,CODE_HIGHLIGHT,true,True,1,3,293,349,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,missing null or empty guard
problem_suite_http,RULE,5,1,501001,problem_suite_http:RULE:c1:s501001:p301,301,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,partial_logic,partial_but_compiling,UNKNOWN,MEDIUM,True,1,2,1,4,5,CONCEPTUAL_HINT,true,True,1,4,288,343,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,logic block
problem_suite_http,RULE,6,1,501001,problem_suite_http:RULE:c1:s501001:p301,301,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,local_completion,locally_complete,WRONG_CONDITION,LOW,True,1,2,1,5,6,CONCEPTUAL_HINT,true,True,1,5,302,358,CONCEPTUAL_HINT,NO_FEEDBACK,false,while condition
problem_suite_http,RULE,7,1,501002,problem_suite_http:RULE:c1:s501002:p302,302,302,two-sum,Two Sum,easy,hash map lookup and pair search,syntax,missing_statement_ending,SYNTAX_ERROR,HIGH,False,0,0,1,0,1,,,True,1,0,49,81,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,statement ending
problem_suite_http,RULE,8,1,501002,problem_suite_http:RULE:c1:s501002:p302,302,302,two-sum,Two Sum,easy,hash map lookup and pair search,planning,unfinished_implementation,STUCK_NO_PROGRESS,LOW,True,0,3,1,1,2,CODE_HIGHLIGHT,true,True,2,1,253,278,GUIDING_QUESTION,GUIDING_QUESTION,true,unfinished implementation
problem_suite_http,RULE,9,1,501002,problem_suite_http:RULE:c1:s501002:p302,302,302,two-sum,Two Sum,easy,hash map lookup and pair search,first_conceptual_error,off_by_one_first,OFF_BY_ONE,MEDIUM,True,1,2,1,2,3,GUIDING_QUESTION,true,True,1,2,262,305,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,for loop condition
problem_suite_http,RULE,10,1,501002,problem_suite_http:RULE:c1:s501002:p302,302,302,two-sum,Two Sum,easy,hash map lookup and pair search,repeated_conceptual_error,off_by_one_repeat,OFF_BY_ONE,MEDIUM,True,1,2,2,3,4,CODE_HIGHLIGHT,true,True,1,3,255,302,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,for loop condition
problem_suite_http,RULE,11,1,501002,problem_suite_http:RULE:c1:s501002:p302,302,302,two-sum,Two Sum,easy,hash map lookup and pair search,partial_logic,partial_but_compiling,UNKNOWN,MEDIUM,True,1,2,1,4,5,CONCEPTUAL_HINT,true,True,1,4,265,314,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,logic block
problem_suite_http,RULE,12,1,501002,problem_suite_http:RULE:c1:s501002:p302,302,302,two-sum,Two Sum,easy,hash map lookup and pair search,local_completion,locally_complete,UNKNOWN,LOW,True,3,0,2,5,6,CONCEPTUAL_HINT,true,True,1,5,261,300,NO_FEEDBACK,NO_FEEDBACK,true,logic block
problem_suite_http,RULE,13,1,501003,problem_suite_http:RULE:c1:s501003:p303,303,303,valid-parentheses,Valid Parentheses,easy,stack state and matching brackets,syntax,missing_statement_ending,SYNTAX_ERROR,HIGH,False,0,0,1,0,1,,,True,1,0,49,100,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,statement ending
problem_suite_http,RULE,14,1,501003,problem_suite_http:RULE:c1:s501003:p303,303,303,valid-parentheses,Valid Parentheses,easy,stack state and matching brackets,planning,unfinished_implementation,STUCK_NO_PROGRESS,LOW,True,0,3,1,1,2,CODE_HIGHLIGHT,true,True,2,1,254,297,GUIDING_QUESTION,GUIDING_QUESTION,true,unfinished implementation
problem_suite_http,RULE,15,1,501003,problem_suite_http:RULE:c1:s501003:p303,303,303,valid-parentheses,Valid Parentheses,easy,stack state and matching brackets,first_conceptual_error,possible_null_access_first,UNKNOWN,MEDIUM,True,3,0,1,2,3,GUIDING_QUESTION,true,True,1,2,249,302,NO_FEEDBACK,CODE_HIGHLIGHT,false,logic block
problem_suite_http,RULE,16,1,501003,problem_suite_http:RULE:c1:s501003:p303,303,303,valid-parentheses,Valid Parentheses,easy,stack state and matching brackets,repeated_conceptual_error,possible_null_access_repeat,UNKNOWN,MEDIUM,True,3,0,2,3,4,NO_FEEDBACK,false,True,1,3,262,302,NO_FEEDBACK,CONCEPTUAL_HINT,false,logic block
