event_index,mode,scenario,expert_action,system_action,agreement,wall_latency_ms
1,RULE,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,24
2,RULE,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
3,RULE,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,31
4,RULE,off_by_one_first,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,24
5,RULE,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,42
6,RULE,off_by_one_repeat_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,23
7,RULE,wrong_condition_first,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,29
8,RULE,wrong_condition_repeat,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,23
9,RULE,unfinished_todo_first,GUIDING_QUESTION,GUIDING_QUESTION,true,43
10,RULE,unfinished_todo_repeat_a,GUIDING_QUESTION,CODE_HIGHLIGHT,false,18
11,RULE,unfinished_todo_repeat_b,GUIDING_QUESTION,GUIDING_QUESTION,true,24
12,RULE,complete_return_first,NO_FEEDBACK,NO_FEEDBACK,true,25
13,RULE,unknown_partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,25
14,RULE,complete_return_second,NO_FEEDBACK,NO_FEEDBACK,true,22
15,RULE,syntax_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,21
16,RULE,off_by_one_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,46
17,RULE,unfinished_todo_after_progress,GUIDING_QUESTION,GUIDING_QUESTION,true,22
18,RULE,wrong_condition_after_progress,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,22
19,RULE,complete_return_final,NO_FEEDBACK,CONCEPTUAL_HINT,false,23
20,RULE,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,39
21,RULE,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,19
22,RULE,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,26
23,RULE,off_by_one_first,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,25
24,RULE,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,42
25,RULE,off_by_one_repeat_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,24
26,RULE,wrong_condition_first,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,38
27,RULE,wrong_condition_repeat,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,22
28,RULE,unfinished_todo_first,GUIDING_QUESTION,GUIDING_QUESTION,true,38
29,RULE,unfinished_todo_repeat_a,GUIDING_QUESTION,CODE_HIGHLIGHT,false,18
30,RULE,unfinished_todo_repeat_b,GUIDING_QUESTION,GUIDING_QUESTION,true,26
31,RULE,complete_return_first,NO_FEEDBACK,NO_FEEDBACK,true,50
32,RULE,unknown_partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,24
33,RULE,complete_return_second,NO_FEEDBACK,NO_FEEDBACK,true,35
34,RULE,syntax_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,19
35,RULE,off_by_one_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,41
36,RULE,unfinished_todo_after_progress,GUIDING_QUESTION,GUIDING_QUESTION,true,22
37,RULE,wrong_condition_after_progress,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,37
38,RULE,complete_return_final,NO_FEEDBACK,CONCEPTUAL_HINT,false,22
39,RULE,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,22
40,RULE,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,33
41,RULE,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,23
