event_index,mode,phase,student_id,task_id,attempt_no,scenario,status,action,error_type,compile_success,tests_passed,tests_failed,analysis_time_ms,wall_latency_ms,suspicious_region,error
1,RULE,replay,220001,101,1,syntax_missing_semicolon_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,3,24,statement ending,
2,RULE,replay,220001,101,2,syntax_missing_semicolon_b,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,3,44,statement ending,
3,RULE,replay,220001,101,3,syntax_missing_semicolon_c,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,3,31,statement ending,
4,RULE,replay,220001,102,4,off_by_one_first,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,6,24,for loop condition,
5,RULE,replay,220001,102,5,off_by_one_repeat_a,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,9,42,for loop condition,
6,RULE,replay,220001,102,6,off_by_one_repeat_b,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,6,23,for loop condition,
7,RULE,replay,220001,103,7,wrong_condition_first,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,5,29,while condition,
8,RULE,replay,220001,103,8,wrong_condition_repeat,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,7,23,while condition,
9,RULE,replay,220001,104,9,unfinished_todo_first,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,7,43,unfinished implementation,
10,RULE,replay,220001,104,10,unfinished_todo_repeat_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,2,18,"line 1, column 66",
11,RULE,replay,220001,104,11,unfinished_todo_repeat_b,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,9,24,unfinished implementation,
12,RULE,replay,220001,105,12,complete_return_first,200,NO_FEEDBACK,UNKNOWN,True,3,0,5,25,logic block,
13,RULE,replay,220001,106,13,unknown_partial_logic,200,CONCEPTUAL_HINT,UNKNOWN,True,1,2,7,25,logic block,
14,RULE,replay,220001,105,14,complete_return_second,200,NO_FEEDBACK,UNKNOWN,True,3,0,6,22,logic block,
15,RULE,replay,220001,101,15,syntax_after_progress,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,1,21,statement ending,
16,RULE,replay,220001,102,16,off_by_one_after_progress,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,7,46,for loop condition,
17,RULE,replay,220001,104,17,unfinished_todo_after_progress,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,6,22,unfinished implementation,
18,RULE,replay,220001,103,18,wrong_condition_after_progress,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,6,22,while condition,
19,RULE,replay,220001,105,19,complete_return_final,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,7,23,logic block,
20,RULE,replay,220002,101,1,syntax_missing_semicolon_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,2,39,statement ending,
21,RULE,replay,220002,101,2,syntax_missing_semicolon_b,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,19,statement ending,
22,RULE,replay,220002,101,3,syntax_missing_semicolon_c,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,3,26,statement ending,
23,RULE,replay,220002,102,4,off_by_one_first,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,6,25,for loop condition,
24,RULE,replay,220002,102,5,off_by_one_repeat_a,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,5,42,for loop condition,
25,RULE,replay,220002,102,6,off_by_one_repeat_b,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,6,24,for loop condition,
26,RULE,replay,220002,103,7,wrong_condition_first,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,7,38,while condition,
27,RULE,replay,220002,103,8,wrong_condition_repeat,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,6,22,while condition,
28,RULE,replay,220002,104,9,unfinished_todo_first,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,6,38,unfinished implementation,
29,RULE,replay,220002,104,10,unfinished_todo_repeat_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,0,18,"line 1, column 66",
30,RULE,replay,220002,104,11,unfinished_todo_repeat_b,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,7,26,unfinished implementation,
31,RULE,replay,220002,105,12,complete_return_first,200,NO_FEEDBACK,UNKNOWN,True,3,0,7,50,logic block,
32,RULE,replay,220002,106,13,unknown_partial_logic,200,CONCEPTUAL_HINT,UNKNOWN,True,1,2,6,24,logic block,
33,RULE,replay,220002,105,14,complete_return_second,200,NO_FEEDBACK,UNKNOWN,True,3,0,6,35,logic block,
34,RULE,replay,220002,101,15,syntax_after_progress,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,2,19,statement ending,
35,RULE,replay,220002,102,16,off_by_one_after_progress,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,6,41,for loop condition,
36,RULE,replay,220002,104,17,unfinished_todo_after_progress,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,6,22,unfinished implementation,
37,RULE,replay,220002,103,18,wrong_condition_after_progress,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,5,37,while condition,
38,RULE,replay,220002,105,19,complete_return_final,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,6,22,logic block,
39,RULE,replay,220003,101,1,syntax_missing_semicolon_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,3,22,statement ending,
40,RULE,replay,220003,101,2,syntax_missing_semicolon_b,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,33,statement ending,
41,RULE,replay,220003,101,3,syntax_missing_semicolon_c,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,2,23,statement ending,
42,RULE,replay,220003,102,4,off_by_one_first,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,6,40,for loop condition,
