event_index,mode,problem_slug,difficulty,stage,expected_action,system_action,agreement,wall_latency_ms
1,RULE,palindrome,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,305
2,RULE,palindrome,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,119
3,RULE,palindrome,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,62
4,RULE,palindrome,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,80
5,RULE,palindrome,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,51
6,RULE,palindrome,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,65
7,RULE,two-sum,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,59
8,RULE,two-sum,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,42
9,RULE,two-sum,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,66
10,RULE,two-sum,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
11,RULE,two-sum,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,54
12,RULE,two-sum,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,49
13,RULE,valid-parentheses,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,57
14,RULE,valid-parentheses,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,47
15,RULE,valid-parentheses,easy,first_conceptual_error,CODE_HIGHLIGHT,NO_FEEDBACK,false,49
16,RULE,valid-parentheses,easy,repeated_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,66
17,RULE,valid-parentheses,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,57
18,RULE,valid-parentheses,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,63
19,RULE,binary-search,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,59
20,RULE,binary-search,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,61
21,RULE,binary-search,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,64
22,RULE,binary-search,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,58
23,RULE,binary-search,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,58
24,RULE,binary-search,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,51
25,RULE,merge-sorted-array,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,57
26,RULE,merge-sorted-array,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,47
27,RULE,merge-sorted-array,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,48
28,RULE,merge-sorted-array,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,43
29,RULE,merge-sorted-array,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,32
30,RULE,merge-sorted-array,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,32
31,RULE,trapping-rain-water,hard,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,44
32,RULE,trapping-rain-water,hard,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,46
33,RULE,trapping-rain-water,hard,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,45
34,RULE,trapping-rain-water,hard,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,49
35,RULE,trapping-rain-water,hard,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,31
36,RULE,trapping-rain-water,hard,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,51
37,RULE,lru-cache,medium,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,61
38,RULE,lru-cache,medium,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,59
39,RULE,lru-cache,medium,first_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,45
40,RULE,lru-cache,medium,repeated_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,29
41,RULE,lru-cache,medium,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
42,RULE,lru-cache,medium,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,44
43,RULE,longest-substring,medium,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,46
44,RULE,longest-substring,medium,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,49
45,RULE,longest-substring,medium,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,44
46,RULE,longest-substring,medium,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,49
47,RULE,longest-substring,medium,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
48,RULE,longest-substring,medium,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,44
49,RULE,reverse-linked-list,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,52
50,RULE,reverse-linked-list,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,43
51,RULE,reverse-linked-list,easy,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,33
52,RULE,reverse-linked-list,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,49
53,RULE,reverse-linked-list,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,62
54,RULE,reverse-linked-list,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,60
55,RULE,matrix-diagonal-sum,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,38
56,RULE,matrix-diagonal-sum,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,48
57,RULE,matrix-diagonal-sum,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,49
58,RULE,matrix-diagonal-sum,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,64
59,RULE,matrix-diagonal-sum,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,33
60,RULE,matrix-diagonal-sum,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,60
61,RULE,roman-to-integer,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,41
62,RULE,roman-to-integer,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,36
