student_id,problem_id,difficulty,dataset_source,session_id,error_type,severity,compile_success,tests_passed,tests_failed,same_error_count,total_errors_seen,attempt_no,last_feedback_action,last_feedback_success,has_suspicious_region,code_lines,total_feedback_count_in_session,feedback_action
113,0,interview,public_code_corpus,0,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,54,0,CODE_HIGHLIGHT
64,0,interview,public_code_corpus,0,SYNTAX_ERROR,HIGH,False,0,1,2,2,2,CODE_HIGHLIGHT,False,True,54,1,CONCEPTUAL_HINT
28,0,interview,public_code_corpus,0,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,54,2,NO_FEEDBACK
74,0,interview,public_code_corpus,1,OFF_BY_ONE,MEDIUM,True,0,1,0,1,1,,,True,52,0,CODE_HIGHLIGHT
174,0,interview,public_code_corpus,1,OFF_BY_ONE,MEDIUM,True,0,1,2,2,2,CODE_HIGHLIGHT,False,True,52,1,CONCEPTUAL_HINT
7,0,interview,public_code_corpus,1,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,52,2,NO_FEEDBACK
195,0,interview,public_code_corpus,2,STUCK_NO_PROGRESS,MEDIUM,True,0,1,0,1,1,,,True,53,0,GUIDING_QUESTION
191,0,interview,public_code_corpus,2,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,GUIDING_QUESTION,False,True,53,1,CONCEPTUAL_HINT
199,0,interview,public_code_corpus,2,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,53,2,NO_FEEDBACK
28,1,interview,public_code_corpus,3,OFF_BY_ONE,MEDIUM,True,0,1,0,1,1,,,True,15,0,CODE_HIGHLIGHT
127,1,interview,public_code_corpus,3,OFF_BY_ONE,MEDIUM,True,0,1,2,2,2,CODE_HIGHLIGHT,False,True,15,1,CONCEPTUAL_HINT
166,1,interview,public_code_corpus,3,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,15,2,NO_FEEDBACK
6,1,interview,public_code_corpus,4,STUCK_NO_PROGRESS,MEDIUM,True,0,1,0,1,1,,,True,35,0,GUIDING_QUESTION
106,1,interview,public_code_corpus,4,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,GUIDING_QUESTION,False,True,35,1,CONCEPTUAL_HINT
67,1,interview,public_code_corpus,4,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,35,2,NO_FEEDBACK
62,1,interview,public_code_corpus,5,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,20,0,CODE_HIGHLIGHT
31,1,interview,public_code_corpus,5,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,CODE_HIGHLIGHT,False,True,20,1,CONCEPTUAL_HINT
61,1,interview,public_code_corpus,5,WRONG_CONDITION,MEDIUM,True,0,1,2,3,3,CONCEPTUAL_HINT,False,True,20,2,GUIDING_QUESTION
122,1,interview,public_code_corpus,5,SUCCESS,LOW,True,1,0,0,3,4,GUIDING_QUESTION,False,False,20,3,NO_FEEDBACK
13,2,interview,public_code_corpus,6,STUCK_NO_PROGRESS,MEDIUM,True,0,1,0,1,1,,,True,62,0,GUIDING_QUESTION
65,2,interview,public_code_corpus,6,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,GUIDING_QUESTION,False,True,62,1,CONCEPTUAL_HINT
76,2,interview,public_code_corpus,6,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,62,2,NO_FEEDBACK
148,2,interview,public_code_corpus,7,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,11,0,CODE_HIGHLIGHT
49,2,interview,public_code_corpus,7,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,CODE_HIGHLIGHT,False,True,11,1,CONCEPTUAL_HINT
66,2,interview,public_code_corpus,7,WRONG_CONDITION,MEDIUM,True,0,1,2,3,3,CONCEPTUAL_HINT,False,True,11,2,GUIDING_QUESTION
53,2,interview,public_code_corpus,7,SUCCESS,LOW,True,1,0,0,3,4,GUIDING_QUESTION,False,False,11,3,NO_FEEDBACK
113,2,interview,public_code_corpus,8,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,20,0,CODE_HIGHLIGHT
58,2,interview,public_code_corpus,8,SYNTAX_ERROR,HIGH,False,0,1,2,2,2,CODE_HIGHLIGHT,False,True,20,1,CONCEPTUAL_HINT
80,2,interview,public_code_corpus,8,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,20,2,NO_FEEDBACK
2,3,interview,public_code_corpus,9,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,10,0,CODE_HIGHLIGHT
137,3,interview,public_code_corpus,9,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,CODE_HIGHLIGHT,False,True,10,1,CONCEPTUAL_HINT
44,3,interview,public_code_corpus,9,WRONG_CONDITION,MEDIUM,True,0,1,2,3,3,CONCEPTUAL_HINT,False,True,10,2,GUIDING_QUESTION
34,3,interview,public_code_corpus,9,SUCCESS,LOW,True,1,0,0,3,4,GUIDING_QUESTION,False,False,10,3,NO_FEEDBACK
44,3,interview,public_code_corpus,10,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,6,0,CODE_HIGHLIGHT
55,3,interview,public_code_corpus,10,SYNTAX_ERROR,HIGH,False,0,1,2,2,2,CODE_HIGHLIGHT,False,True,6,1,CONCEPTUAL_HINT
98,3,interview,public_code_corpus,10,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,6,2,NO_FEEDBACK
157,3,interview,public_code_corpus,11,OFF_BY_ONE,MEDIUM,True,0,1,0,1,1,,,True,11,0,CODE_HIGHLIGHT
174,3,interview,public_code_corpus,11,OFF_BY_ONE,MEDIUM,True,0,1,2,2,2,CODE_HIGHLIGHT,False,True,11,1,CONCEPTUAL_HINT
130,3,interview,public_code_corpus,11,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,11,2,NO_FEEDBACK
75,4,interview,public_code_corpus,12,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,18,0,CODE_HIGHLIGHT
124,4,interview,public_code_corpus,12,SYNTAX_ERROR,HIGH,False,0,1,2,2,2,CODE_HIGHLIGHT,False,True,18,1,CONCEPTUAL_HINT
66,4,interview,public_code_corpus,12,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,18,2,NO_FEEDBACK
22,4,interview,public_code_corpus,13,OFF_BY_ONE,MEDIUM,True,0,1,0,1,1,,,True,17,0,CODE_HIGHLIGHT
70,4,interview,public_code_corpus,13,OFF_BY_ONE,MEDIUM,True,0,1,2,2,2,CODE_HIGHLIGHT,False,True,17,1,CONCEPTUAL_HINT
39,4,interview,public_code_corpus,13,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,17,2,NO_FEEDBACK
4,4,interview,public_code_corpus,14,STUCK_NO_PROGRESS,MEDIUM,True,0,1,0,1,1,,,True,19,0,GUIDING_QUESTION
116,4,interview,public_code_corpus,14,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,GUIDING_QUESTION,False,True,19,1,CONCEPTUAL_HINT
178,4,interview,public_code_corpus,14,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,19,2,NO_FEEDBACK
139,5,interview,public_code_corpus,15,OFF_BY_ONE,MEDIUM,True,0,1,0,1,1,,,True,24,0,CODE_HIGHLIGHT
35,5,interview,public_code_corpus,15,OFF_BY_ONE,MEDIUM,True,0,1,2,2,2,CODE_HIGHLIGHT,False,True,24,1,CONCEPTUAL_HINT
130,5,interview,public_code_corpus,15,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,24,2,NO_FEEDBACK
107,5,interview,public_code_corpus,16,STUCK_NO_PROGRESS,MEDIUM,True,0,1,0,1,1,,,True,49,0,GUIDING_QUESTION
55,5,interview,public_code_corpus,16,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,GUIDING_QUESTION,False,True,49,1,CONCEPTUAL_HINT
26,5,interview,public_code_corpus,16,SUCCESS,LOW,True,1,0,0,2,3,CONCEPTUAL_HINT,False,False,49,2,NO_FEEDBACK
82,5,interview,public_code_corpus,17,SYNTAX_ERROR,HIGH,False,0,1,0,1,1,,,True,31,0,CODE_HIGHLIGHT
172,5,interview,public_code_corpus,17,WRONG_CONDITION,MEDIUM,True,0,1,1,2,2,CODE_HIGHLIGHT,False,True,31,1,CONCEPTUAL_HINT
168,5,interview,public_code_corpus,17,WRONG_CONDITION,MEDIUM,True,0,1,2,3,3,CONCEPTUAL_HINT,False,True,31,2,GUIDING_QUESTION
