event_index,mode,cohort,student_id,problem_id,problem_slug,problem_title,difficulty,concept,attempt_no,stage,scenario,expected_action,expected_reason,status,action,agreement,feedback_source,feedback_text,error_type,compile_success,tests_passed,tests_failed,analysis_time_ms,wall_latency_ms,suspicious_region,code_lines,error
1,ML,1,301001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,gemini,It looks like there's a small syntax issue at the end of your statement. Double-check how you're terminating your lines in C++.,SYNTAX_ERROR,False,0,0,1,3128,statement ending,1,
2,ML,1,301001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,template,What should be true at each iteration for your algorithm to work correctly?,STUCK_NO_PROGRESS,True,0,3,1,2450,unfinished implementation,2,
3,ML,1,301001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,3,first_conceptual_error,possible_null_access_first,CODE_HIGHLIGHT,First substantial mistake should receive the least sufficient intervention.,200,CODE_HIGHLIGHT,true,template,Check the missing null or empty guard. There may be a small issue here.,POSSIBLE_NULL_ACCESS,True,3,0,0,2006,missing null or empty guard,1,
4,ML,1,301001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,4,repeated_conceptual_error,possible_null_access_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,gemini,"Great job! Your code passed all tests, and it's good that you considered trimming the input. However, for production code, it's always a good idea to consider what happens if the input `s` itself is null.",POSSIBLE_NULL_ACCESS,True,3,0,0,5287,missing null or empty guard,1,
5,ML,1,301001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,gemini,"Great start on implementing the checkpoint logic! It looks like you're on the right track with incrementing, but consider how the checkpoint variable should be updated in relation to the different game events.",UNKNOWN,True,1,2,1,4654,logic block,1,
6,ML,1,301001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,NO_FEEDBACK,true,gemini,You're on the right track with your loop condition! Consider what happens when `left` and `right` meet or cross in the middle of the string.,WRONG_CONDITION,True,3,0,0,5143,while condition,1,
7,ML,1,301002,302,two-sum,Two Sum,easy,hash map lookup and pair search,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,gemini,It looks like there might be a missing character to properly end this statement. Double-check the syntax for declaring and initializing variables.,SYNTAX_ERROR,False,0,0,0,8492,statement ending,1,
8,ML,1,301002,302,two-sum,Two Sum,easy,hash map lookup and pair search,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,gemini,You've made a good start by initializing the `progress` variable. What's the next logical step to implement the core algorithm described in the task?,STUCK_NO_PROGRESS,True,0,3,0,4623,unfinished implementation,2,
9,ML,1,301002,302,two-sum,Two Sum,easy,hash map lookup and pair search,3,first_conceptual_error,off_by_one_first,CODE_HIGHLIGHT,First substantial mistake should receive the least sufficient intervention.,200,CODE_HIGHLIGHT,true,gemini,"Great start! You're very close to the solution, but double-check your `for` loop's condition to ensure it iterates through all the necessary elements. Pay close attention to the upper bound of your loop.",OFF_BY_ONE,True,1,2,0,3976,for loop condition,1,
10,ML,1,301002,302,two-sum,Two Sum,easy,hash map lookup and pair search,4,repeated_conceptual_error,off_by_one_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,gemini,It looks like you're on the right track with your loop and map usage! Double-check the condition in your `for` loop to ensure it covers all necessary elements without going out of bounds.,OFF_BY_ONE,True,1,2,0,2352,for loop condition,1,
11,ML,1,301002,302,two-sum,Two Sum,easy,hash map lookup and pair search,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,gemini,Your code is almost there! Review the logic within your `checkpoint` variable's usage to ensure it correctly reflects the intended progression of your program through the test cases.,UNKNOWN,True,1,2,0,904,logic block,1,
12,ML,1,301002,302,two-sum,Two Sum,easy,hash map lookup and pair search,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,NO_FEEDBACK,true,gemini,Great job on implementing the logic to find the pair! Your use of the map is a smart approach.,UNKNOWN,True,3,0,0,1749,logic block,1,
13,ML,1,301003,303,valid-parentheses,Valid Parentheses,easy,stack state and matching brackets,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,gemini,It looks like there might be a small syntax issue with how your statement is ending. Check the punctuation at the end of your `int candidate = 0` line.,SYNTAX_ERROR,False,0,0,0,1706,statement ending,1,
