event_index,mode,phase,student_id,task_id,attempt_no,scenario,status,action,error_type,compile_success,tests_passed,tests_failed,analysis_time_ms,wall_latency_ms,suspicious_region,error
1,ML,replay,230001,101,1,syntax_missing_semicolon_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,155,344,statement ending,
2,ML,replay,230001,101,2,syntax_missing_semicolon_b,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,46,statement ending,
3,ML,replay,230001,101,3,syntax_missing_semicolon_c,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,8,47,statement ending,
4,ML,replay,230001,102,4,off_by_one_first,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,59,121,for loop condition,
5,ML,replay,230001,102,5,off_by_one_repeat_a,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,9,48,for loop condition,
6,ML,replay,230001,102,6,off_by_one_repeat_b,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,13,76,for loop condition,
7,ML,replay,230001,103,7,wrong_condition_first,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,12,51,while condition,
8,ML,replay,230001,103,8,wrong_condition_repeat,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,15,71,while condition,
9,ML,replay,230001,104,9,unfinished_todo_first,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,13,87,unfinished implementation,
10,ML,replay,230001,104,10,unfinished_todo_repeat_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,6,35,"line 1, column 66",
11,ML,replay,230001,104,11,unfinished_todo_repeat_b,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,11,58,unfinished implementation,
12,ML,replay,230001,105,12,complete_return_first,200,NO_FEEDBACK,UNKNOWN,True,3,0,9,46,logic block,
13,ML,replay,230001,106,13,unknown_partial_logic,200,CONCEPTUAL_HINT,UNKNOWN,True,1,2,11,62,logic block,
14,ML,replay,230001,105,14,complete_return_second,200,NO_FEEDBACK,UNKNOWN,True,3,0,13,48,logic block,
15,ML,replay,230001,101,15,syntax_after_progress,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,72,statement ending,
16,ML,replay,230001,102,16,off_by_one_after_progress,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,10,55,for loop condition,
17,ML,replay,230001,104,17,unfinished_todo_after_progress,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,9,39,unfinished implementation,
18,ML,replay,230001,103,18,wrong_condition_after_progress,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,10,40,while condition,
19,ML,replay,230001,105,19,complete_return_final,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,11,42,logic block,
20,ML,replay,230002,101,1,syntax_missing_semicolon_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,4,62,statement ending,
21,ML,replay,230002,101,2,syntax_missing_semicolon_b,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,57,statement ending,
22,ML,replay,230002,101,3,syntax_missing_semicolon_c,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,45,statement ending,
23,ML,replay,230002,102,4,off_by_one_first,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,9,38,for loop condition,
