event_index,scenario,error_type,system_action,expert_action,agreement,label_source,rationale
1,syntax_missing_semicolon_a,SYNTAX_ERROR,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,pedagogical_rubric_v1,First syntax mistake: location cue is enough.
2,syntax_missing_semicolon_b,SYNTAX_ERROR,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,pedagogical_rubric_v1,Repeated syntax issue: add a short syntax reminder.
3,syntax_missing_semicolon_c,SYNTAX_ERROR,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,pedagogical_rubric_v1,Repeated syntax issue: add a short syntax reminder.
4,off_by_one_first,OFF_BY_ONE,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,pedagogical_rubric_v1,First boundary issue: point to loop condition.
5,off_by_one_repeat_a,OFF_BY_ONE,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,pedagogical_rubric_v1,Repeated boundary issue: explain loop boundary concept.
6,off_by_one_repeat_b,OFF_BY_ONE,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,pedagogical_rubric_v1,Repeated boundary issue: explain loop boundary concept.
7,wrong_condition_first,WRONG_CONDITION,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,pedagogical_rubric_v1,Condition mistake needs conceptual guidance.
8,wrong_condition_repeat,WRONG_CONDITION,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,pedagogical_rubric_v1,Repeated condition mistake still needs conceptual guidance.
9,unfinished_todo_first,STUCK_NO_PROGRESS,GUIDING_QUESTION,GUIDING_QUESTION,true,pedagogical_rubric_v1,Unfinished implementation should prompt planning.
10,unfinished_todo_repeat_a,SYNTAX_ERROR,CODE_HIGHLIGHT,GUIDING_QUESTION,false,pedagogical_rubric_v1,Repeated unfinished state should prompt reasoning.
11,unfinished_todo_repeat_b,STUCK_NO_PROGRESS,GUIDING_QUESTION,GUIDING_QUESTION,true,pedagogical_rubric_v1,Unsupported placeholder should prompt next-step reasoning.
12,complete_return_first,UNKNOWN,NO_FEEDBACK,NO_FEEDBACK,true,pedagogical_rubric_v1,Locally complete state should not be interrupted.
13,unknown_partial_logic,UNKNOWN,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,pedagogical_rubric_v1,Unknown partial logic benefits from a general comparison hint.
14,complete_return_second,UNKNOWN,NO_FEEDBACK,NO_FEEDBACK,true,pedagogical_rubric_v1,Locally complete state should not be interrupted.
15,syntax_after_progress,SYNTAX_ERROR,CONCEPTUAL_HINT,CODE_HIGHLIGHT,false,pedagogical_rubric_v1,New syntax issue after progress: location cue is enough.
16,off_by_one_after_progress,OFF_BY_ONE,CONCEPTUAL_HINT,CODE_HIGHLIGHT,false,pedagogical_rubric_v1,New boundary issue after progress: point to condition.
17,unfinished_todo_after_progress,STUCK_NO_PROGRESS,GUIDING_QUESTION,GUIDING_QUESTION,true,pedagogical_rubric_v1,Unfinished retry should prompt planning.
