event_index,mode,phase,student_id,task_id,attempt_no,scenario,status,action,error_type,compile_success,tests_passed,tests_failed,analysis_time_ms,wall_latency_ms,suspicious_region,error
1,RULE,stress,310001,2101,1,syntax_missing_semicolon_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,4,31,statement ending,
2,RULE,stress,310002,2101,1,syntax_missing_semicolon_b,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,3,39,statement ending,
3,RULE,stress,310003,2101,1,syntax_missing_semicolon_c,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,3,37,statement ending,
4,RULE,stress,310004,2102,1,off_by_one_first,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,9,42,for loop condition,
5,RULE,stress,310005,2102,1,off_by_one_repeat_a,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,7,40,for loop condition,
6,RULE,stress,310006,2102,1,off_by_one_repeat_b,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,6,42,for loop condition,
7,RULE,stress,310007,2103,1,wrong_condition_first,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,9,38,while condition,
8,RULE,stress,310008,2103,1,wrong_condition_repeat,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,7,41,while condition,
9,RULE,stress,310009,2104,1,unfinished_todo_first,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,16,32,unfinished implementation,
10,RULE,stress,310010,2104,1,unfinished_todo_repeat_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,4,29,"line 1, column 66",
11,RULE,stress,310011,2104,1,unfinished_todo_repeat_b,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,9,43,unfinished implementation,
12,RULE,stress,310012,2105,1,complete_return_first,200,NO_FEEDBACK,UNKNOWN,True,3,0,8,35,logic block,
13,RULE,stress,310013,2106,1,unknown_partial_logic,200,CONCEPTUAL_HINT,UNKNOWN,True,1,2,7,35,logic block,
14,RULE,stress,310014,2105,1,complete_return_second,200,NO_FEEDBACK,UNKNOWN,True,3,0,8,43,logic block,
15,RULE,stress,310015,2101,1,syntax_after_progress,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,4,33,statement ending,
16,RULE,stress,310016,2102,1,off_by_one_after_progress,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,8,33,for loop condition,
17,RULE,stress,310017,2104,1,unfinished_todo_after_progress,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,11,44,unfinished implementation,
18,RULE,stress,310018,2103,1,wrong_condition_after_progress,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,7,41,while condition,
19,RULE,stress,310019,2105,1,complete_return_final,200,NO_FEEDBACK,UNKNOWN,True,3,0,15,40,logic block,
20,RULE,stress,310020,2101,1,syntax_missing_semicolon_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,8,33,statement ending,
21,RULE,stress,310021,2101,1,syntax_missing_semicolon_b,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,9,35,statement ending,
22,RULE,stress,310022,2101,1,syntax_missing_semicolon_c,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,8,35,statement ending,
23,RULE,stress,310023,2102,1,off_by_one_first,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,22,69,for loop condition,
24,RULE,stress,310024,2102,1,off_by_one_repeat_a,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,23,66,for loop condition,
25,RULE,stress,310025,2102,1,off_by_one_repeat_b,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,7,48,for loop condition,
26,RULE,stress,310026,2103,1,wrong_condition_first,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,8,47,while condition,
27,RULE,stress,310027,2103,1,wrong_condition_repeat,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,7,43,while condition,
28,RULE,stress,310028,2104,1,unfinished_todo_first,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,7,56,unfinished implementation,
29,RULE,stress,310029,2104,1,unfinished_todo_repeat_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,4,40,"line 1, column 66",
30,RULE,stress,310030,2104,1,unfinished_todo_repeat_b,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,8,45,unfinished implementation,
31,RULE,stress,310031,2105,1,complete_return_first,200,NO_FEEDBACK,UNKNOWN,True,3,0,7,31,logic block,
32,RULE,stress,310032,2106,1,unknown_partial_logic,200,CONCEPTUAL_HINT,UNKNOWN,True,1,2,7,31,logic block,
33,RULE,stress,310033,2105,1,complete_return_second,200,NO_FEEDBACK,UNKNOWN,True,3,0,7,30,logic block,
34,RULE,stress,310034,2101,1,syntax_after_progress,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,3,25,statement ending,
35,RULE,stress,310035,2102,1,off_by_one_after_progress,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,6,56,for loop condition,
36,RULE,stress,310036,2104,1,unfinished_todo_after_progress,200,GUIDING_QUESTION,STUCK_NO_PROGRESS,True,0,3,6,27,unfinished implementation,
37,RULE,stress,310037,2103,1,wrong_condition_after_progress,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,6,52,while condition,
38,RULE,stress,310038,2105,1,complete_return_final,200,NO_FEEDBACK,UNKNOWN,True,3,0,18,62,logic block,
39,RULE,stress,310039,2101,1,syntax_missing_semicolon_a,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,3,25,statement ending,
40,RULE,stress,310040,2101,1,syntax_missing_semicolon_b,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,3,26,statement ending,
41,RULE,stress,310041,2101,1,syntax_missing_semicolon_c,200,CODE_HIGHLIGHT,SYNTAX_ERROR,False,0,0,0,34,statement ending,
42,RULE,stress,310042,2102,1,off_by_one_first,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,6,38,for loop condition,
43,RULE,stress,310043,2102,1,off_by_one_repeat_a,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,8,63,for loop condition,
44,RULE,stress,310044,2102,1,off_by_one_repeat_b,200,CODE_HIGHLIGHT,OFF_BY_ONE,True,1,2,8,39,for loop condition,
